,deal_id,deal_title,deal_starts_at,deal_ends_at,deal_badge
0,081919bd,"Apple 2024 MacBook Air 13-inch Laptop with M3 chip: 13.6-inch Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID; Midnight",2024-06-09T07:05:00.000Z,2024-06-24T06:59:59.000Z,18% off
1,145ae417,"Apple Watch Ultra 2 [GPS + Cellular 49mm] Smartwatch with Rugged Titanium Case & Blue Ocean Band One Size. Fitness Tracker, Precision GPS, Action Button, Extra-Long Battery Life, Bright Retina Display",2024-06-17T19:00:00.000Z,2024-06-30T06:59:59.000Z,10% off
2,544829f9,"Beats Studio Pro - Wireless Bluetooth Noise Cancelling Headphones - Personalized Spatial Audio, USB-C Lossless Audio, Apple & Android Compatibility, Up to 40 Hours Battery Life - Black",2024-06-09T07:00:00.000Z,2024-06-23T06:59:59.000Z,49% off
3,ec6ea809,"Shark AI Ultra Voice Control Robot Vacuum with Matrix Clean Navigation, Home Mapping, 60-Day Capacity, Self-Empty Base for Homes with Pets, Carpet & Hard Floors (Silver/Black)",2024-06-15T07:00:00.000Z,2024-08-01T06:59:59.000Z,50% off
4,55a3e8fd,"DJI Mini 3 (DJI RC) , Lightweight 3x Mechanical Gimbal Mini Camera Drone with 4K HDR Video, 38-min Flight Time, up to 32800ft (10km) Video Transmission, Vertical Shooting, GPS Auto Return Integrated",2024-06-14T07:00:00.000Z,2024-06-24T06:59:59.000Z,22% off
5,8d45db06,"Anker SOLIX C1000 Portable Power Station, 1800W (Peak 2400W) Solar Generator, Full Charge in 58 Min, 1056wh LiFePO4 Battery for Home Backup, Power Outages, and Outdoor Camping (Optional Solar Panel)",2024-06-17T18:30:00.000Z,2024-06-18T06:30:00.000Z,40% off
6,e5b4569d,"Crucial P3 Plus 4TB PCIe Gen4 3D NAND NVMe M.2 SSD, up to 5000MB/s - CT4000P3PSSD8",2024-06-16T07:00:00.000Z,2024-06-23T06:59:59.000Z,40% off
7,6e6e01b8,"Best Choice Products 7-Piece Modular Outdoor Sectional Wicker Patio Conversation Set w/ 2 Pillows, Coffee Table, Cover Included - Gray/Navy",2024-06-17T07:00:00.000Z,2024-06-24T06:45:00.000Z,44% off
8,c8e8ee49,"EF ECOFLOW Portable Power Station 3600Wh DELTA Pro, 120V AC Outlets x 5, 3600W, 2.7H Fast Charge, Lifepo4 Power Station, Solar Generator for Home Use, Power Outage, Camping, RV, Emergencies",2024-06-17T07:00:00.000Z,2024-06-24T06:45:00.000Z,31% off
9,93c871c0,"Anker Prime 27,650mAh Power Bank (250W) with 100W Charging Base, 3-Port Portable Charger, Smart App, Compatible with iPhone 15/15 Plus/15 Pro/15 Pro Max/14 Series, MacBook, Samsung, Dell, AirPods",2024-06-17T07:00:00.000Z,2024-06-24T06:45:00.000Z,30% off
